AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
159, ASV 597 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloropicon Chloropicon sieburthii, ASV 1388 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloropicon Chloropicon roscoffensis, 0.0000000000, 0.0000000000
160, ASV 465 Root Eukaryota Stramenopiles Ochrophyta Bolidophyceae Parmales Parmales env 3 Parmales env 3B Parmales env 3B sp., ASV 576 Root Eukaryota Stramenopiles Ochrophyta Bolidophyceae Parmales Parmales env 3 Parmales env 3A Parmales env 3A sp., 0.0000000000, 0.0000000000
161, ASV 537 Root Eukaryota:nucl Hacrobia:nucl Cryptophyta:nucl Cryptophyceae:nucl Cryptomonadales:nucl Hemiselmidaceae:nucl Hemiselmis:nucl Hemiselmis sp.:nucl, ASV 1054 Root Eukaryota:nucl Hacrobia:nucl Cryptophyta:nucl Cryptophyceae:nucl Cryptomonadales:nucl Hemiselmidaceae:nucl Hemiselmis:nucl Hemiselmis sp.:nucl, 0.0000000000, 0.0000000000
162, ASV 443 Root Eukaryota Archaeplastida Chlorophyta Chlorodendrophyceae Chlorodendrales Chlorodendraceae Chlorodendrales XX Chlorodendrales XX sp., ASV 577 Root Eukaryota Archaeplastida Chlorophyta Chlorodendrophyceae Chlorodendrales Chlorodendraceae Chlorodendrales XX Chlorodendrales XX sp., 0.0000000000, 0.0000000000
163, ASV 910 Root Eukaryota Stramenopiles Ochrophyta Bolidophyceae Parmales Triparmaceae Triparma Triparma pacifica, ASV 1480 Root Eukaryota Stramenopiles Ochrophyta Bolidophyceae Parmales Triparmaceae Triparma Triparma laevis clade, 0.0000000000, 0.0000000000
164, ASV 144 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Chaetoceros Chaetoceros tenuissimus, ASV 446 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Raphid-pennate Cylindrotheca Cylindrotheca closterium, 0.0000000000, 0.0000000000
165, ASV 946 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Minidiscus Minidiscus variabilis, ASV 1152 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Minidiscus Minidiscus variabilis, 0.0000000000, 0.0000000000
166, ASV 642 Root Eukaryota Stramenopiles Ochrophyta Dictyochophyceae Dictyochophyceae X Florenciellales Florenciella Florenciella parvula, ASV 1231 Root Eukaryota Stramenopiles Ochrophyta Dictyochophyceae Dictyochophyceae X Florenciellales Florenciella Florenciella parvula, 0.0000000000, 0.0000000000
167, 166, ASV 1631 Root Eukaryota Stramenopiles Ochrophyta Dictyochophyceae Dictyochophyceae X Florenciellales Florenciellales X Florenciellales X sp., 0.0000000000, 0.0000000000
168, 167, 161, 0.0000000000, 0.0000000000
