"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_33_Micromonas_commoda_A2";0;30;84;0;2;37;0;2;115;0;0;184;74;13;81;96;28;142;40;42;49;4;33;143;83;359;221;118;350;218;116;549;201;193;480;330;337;29;306;222;343
"ASV_152_Aureococcus_anophagefferens";0;6;171;0;0;81;0;0;179;0;0;249;1;0;17;1;2;65;0;7;15;0;2;49;1;16;81;5;0;91;8;9;38;10;21;221;43;9;73;32;34
"ASV_59_Picochlorum_sp.";20;0;0;0;0;0;22;0;47;32;0;0;0;8;544;65;0;131;70;0;817;100;0;208;65;0;0;0;0;34;66;0;20;0;75;76;492;280;440;147;251
"ASV_1560_Rhodomonas_sp.";0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;5;0;0;5;0;0;8;0;0;9;0;4;0;4;1;0
"ASV_323_Chrysochromulina_sp.";0;81;61;0;19;0;0;7;40;0;9;73;65;0;0;0;30;0;0;28;0;0;42;0;8;0;0;18;0;0;0;76;0;0;48;42;0;0;77;0;0
"ASV_89_Teleaulax_gracilis";0;51;85;0;69;59;0;0;108;0;37;117;550;12;105;127;6;58;64;50;32;65;67;119;46;48;56;26;52;71;80;46;44;115;34;93;68;32;81;67;41
"ASV_2990_Chrysophyceae_Clade-H_X_sp.";0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;5
"ASV_13_Bathycoccus_prasinos";0;135;499;0;32;256;0;0;404;0;0;652;113;0;248;162;53;574;46;82;91;0;100;392;134;414;462;148;360;466;128;528;339;122;393;720;636;0;690;398;634
"ASV_1004_Pelagomonadaceae_clade_C_sp.";0;21;3;0;38;3;0;0;2;0;10;0;0;0;4;1;0;3;0;9;0;0;9;4;1;0;0;1;0;5;6;0;3;2;0;5;3;0;0;0;0
"ASV_205_Aureococcus_anophagefferens";0;3;119;0;0;62;0;0;152;0;0;172;0;0;22;1;0;55;2;8;7;0;8;32;2;8;44;4;14;80;4;15;41;11;13;221;30;5;28;21;32
"ASV_1092_Pelagomonas_calceolata";0;0;26;0;0;10;0;0;17;0;0;23;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;10;0;5
"ASV_597_Chloropicon_sieburthii";0;0;37;0;0;25;0;0;23;0;0;43;0;0;41;0;0;18;0;0;67;0;0;19;0;0;0;0;0;0;0;0;25;15;0;0;0;16;0;0;0
"ASV_404_Chloroparvula_pacifica";0;9;32;0;0;36;0;0;16;0;0;12;0;0;67;0;11;21;0;10;81;0;0;38;0;0;6;0;4;12;0;0;8;0;0;60;18;7;25;11;15
"ASV_52_Ostreococcus_lucimarinus";0;85;133;0;0;55;0;0;20;0;0;26;26;0;71;16;15;182;0;43;37;0;27;86;210;288;232;240;266;210;220;260;202;192;290;217;137;17;155;80;108
"ASV_115_Minutocellus_polymorphus";0;0;0;0;0;0;0;0;36;0;0;0;19;0;30;0;0;0;0;32;48;0;0;0;0;0;0;0;22;0;10;101;0;0;85;0;393;36;328;500;456
"ASV_446_Cylindrotheca_closterium";0;44;0;0;0;0;0;67;0;0;62;0;0;0;0;0;27;0;0;22;0;0;21;0;0;49;0;0;0;0;0;0;0;0;0;0;36;0;50;55;0
"ASV_2_Ostreococcus_lucimarinus";0;1835;2814;0;313;1538;0;26;566;0;26;601;421;152;1654;442;436;3791;257;690;782;64;722;2036;4297;6515;4634;4797;5514;4480;4180;6451;4712;4587;6186;4430;3303;304;3071;2339;2917
