"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Metazoa";"Cryptophyta";"Haptophyta";"Ciliophora";"Sagenista";"Picozoa";"Katablepharidophyta";"Prasinodermophyta";"Opalozoa";"Pseudofungi";"Telonemia";"Cercozoa";"Centroheliozoa";"Streptophyta";"NA.";"Conosa";"Choanoflagellida";"Rhodophyta";"Stramenopiles_X";"Radiolaria";"Alveolata_X";"Mesomycetozoa";"Apicomplexa";"Perkinsea";"Chrompodellids";"Hilomonadea";"Apusomonadidae";"Lobosa";"Foraminifera"
"C4_2018.02";0,0452609543059265;0,0663875454173585;0,163550614788614;0,465458745398109;0,0391732236098077;0,010707668615703;0,0234124978945595;0,0984143025578094;0,0351789022835006;0,000336870473303015;0,00293558555306913;0,000384994826632017;0,00967299501912943;0,00943237325248442;0,00209340936981159;0,0226425082412955;9,62487066580043e-05;0,000312808296638514;0;0;0,00187684977983108;0;0,00243027984311461;0;0;0;0,000144373059987006;0;0;9,62487066580043e-05;0;0;0
"C4_2018.04";0,169031699456443;0,0663331569580066;0,265236423108375;0,218456876232623;0,071407956130646;0,0298956178748377;0,0262638895569772;0,0880513733224301;0,0185194093029968;0,00192409447303863;0,0112800038481889;0,00175573620664775;0,0088267833950647;0,0063014093992015;0,00808119678676223;0,00449757083072779;0,00132281495021406;0;0;0;0,000913944874693347;0;0;0;0;0,000216460628216845;0,000553177160998605;0;0;0,000144307085477897;0,000673433065563519;0,000312665351868777;0
"F1_2017.04";0,0811795732438264;0,145384799808199;0,179309518101175;0,0308798849196835;0,0275953008870774;0,141428913929513;0,0278110764804603;0,231551186765764;0,0236394150083913;0,0503236633900743;0,00525053943898346;0;0,0310237353152721;0,0125149844162071;0,00362023495564613;0,00292495804363462;0,0027571325821146;0;0;0;0,00234955646128027;0,000311675857108607;0,000143850395588588;0;0;0;0;0;0;0;0;0;0
"F1_2018.02";0,0283317353787152;0,116610738255034;0,288063279002876;0,458772770853308;0,0265340364333653;0,00436241610738255;0,0035953978906999;0,00829338446788111;0,0427372962607862;0,00251677852348993;0,00340364333652924;0,00153403643336529;0,00779002876318313;0,00136625119846596;0,000383509108341323;0,00453020134228188;0;0;0;0;0,000407478427612656;0,000119846596356663;0;0;0;0,000647171620325983;0;0;0;0;0;0;0
"F1_2018.04";0,331798008876095;0,0812522490104354;0,451961137099676;0,0289792491303826;0,0230538563032266;0,0339450641717644;0,00283075446803407;0,0116828595418016;0,014465635120547;0,00359841669665347;0,00129543001079525;0,00695693894686338;0,00196713446083723;0,00136739834472832;0,00112750389828475;0,00081564111790812;0,000527767782175843;0;0;0;0,000935588341129903;0,000287873335732278;0;9,59577785774259e-05;0;0;0,00105553556435169;0;0;0;0;0;0
"F2_2017.04";0,122339405560882;0,378667305848514;0,218384467881112;0,0310882070949185;0,0324544582933845;0,0343480345158197;0,0213326941514861;0,0107142857142857;0,0301773729626079;0,0565675934803452;0,00184563758389262;0,000311601150527325;0,0366251198465964;0,00364333652924257;0,0026366251198466;0,00527325023969319;0,0062320230105465;0;0;0,00177372962607862;0,00349952061361457;0,000287631831255992;0,000838926174496644;0,000551294343240652;0;0,000335570469798658;7,19079578139981e-05;0;0;0;0;0;0
"F2_2018.02";0,059191749610265;0,169013071111644;0,332509893272575;0,252044609665428;0,0784746372466723;0,00863412879242115;0,00474877083583163;0,00748291162009833;0,052668185633769;0,00326178198824799;0,00515649358436263;0,00107926609905264;0,0145341168005756;0,00242235280009593;0,00095934764360235;0,00554023264180357;0;4,79673821801175e-05;0;0;0,000503657512891234;0,000239836910900588;0,000215853219810529;0,00019186952872047;0;0,000215853219810529;0,000503657512891234;0;0;0,000167885837630411;0,00019186952872047;0;0
"F2_2018.04";0,421596356663471;0,0177612655800575;0,327996164908917;0,048849472674976;0,0194870565675935;0,025934803451582;0,00405081495685523;0,0753116011505273;0,0411792905081496;0,00508149568552253;0,00227708533077661;0,00194151486097795;0,00292425695110259;0,00179769894534995;0,00105465004793864;0,00127037392138063;0,000455417066155321;0;0;0;0,000790987535953979;0;0,000143815915627996;0;0;0;9,58772770853308e-05;0;0;0;0;0;0
"F3_2017.04";0,0585147185732093;0,649654808706492;0,182160322178541;0,00611276248921277;0,0388100489020999;0,00779077572154569;0,00628056381244606;0,0113625467446543;0,00795857704477898;0,012968645124173;0,000958864704190239;0;0,0105475117460926;0,00160609837951865;0,000479432352095119;0,00163006999712341;0,00220538881963755;0;0;0;0,000719148528142679;0;0,00023971617604756;0;0;0;0;0;0;0;0;0;0
"F3_2018.02";0,0800557410922371;0,0439201364695707;0,472694072703683;0,0872636409504817;0,0904110905552486;0,0286153624372312;0,0105235337930372;0,0203983565988323;0,0927656711756085;0,0142956680521852;0,0135989043992215;0,00151365897023137;0,023954253862233;0,00442084524639004;0,00129742197448403;0,00905792748852743;0,000120131664304077;0;0;0;0,0032675812690709;0;0,000816895317267725;0,000240263328608155;0;0,000168184330025708;0;0;0;0,000600658321520386;0;0;0
"F3_2018.04";0,296093000958773;0,149376797698945;0,477996164908917;0,0145733461169703;0,00937200383509108;0,0121284755512943;0,00165388302972196;0,010738255033557;0,0107622243528284;0,00146212847555129;0,000743048897411314;0,0101629913710451;0,000767018216682646;0,000814956855225312;0,000191754554170662;0,000743048897411314;0;0;0;0;0,000215723873441994;0,0011744966442953;0;0;0;0;0,00103068072866731;0;0;0;0;0;0
"F4_2017.04";0,0342521572387344;0,824376797698945;0,0944870565675935;0,0025647171620326;0,00337967401725791;0,00958772770853308;0,00424256951102589;0,00349952061361457;0,00685522531160115;0,0087248322147651;0,000431447746883988;0;0,00357142857142857;0,00035953978906999;0,000958772770853308;0,000551294343240652;0,000383509108341323;0;0;0;0,000215723873441994;0,000575263662511985;0;0,000503355704697987;0;0,00035953978906999;0,000119846596356663;0;0;0;0;0;0
"F4_2018.02";0,0795672615620802;0,0699481865284974;0,482512953367876;0,0806706966033391;0,0722030320475916;0,0272500479754366;0,00817981193628862;0,0129533678756477;0,0919689119170984;0,0171032431395126;0,0122097486087123;0,000935521013241221;0,0212291306850892;0,00532527345998849;0,00115141047783535;0,00997889080790635;0,000479754365764728;0;0;0;0,00355018230665899;0,000479754365764728;0,000599692957205911;0,000647668393782383;0;0,000215889464594128;4,79754365764728e-05;0;0;0,000503742084052965;0,000287852619458837;0;0
"F4_2018.04";0,288930491551459;0,0815572196620584;0,414026497695853;0,0450748847926267;0,016705069124424;0,0535474270353303;0,00631240399385561;0,0482430875576037;0,0223934331797235;0,00595238095238095;0,00199212749615975;0,00290418586789555;0,00393625192012289;0,00259216589861751;0,00235215053763441;0,00127208141321045;0,000600038402457757;0;0;0;0,00105606758832565;0;0;0,000384024577572965;0;0;0,000168010752688172;0;0;0;0;0;0
